,value,percentage,datetime
0,3532788.346,1,2022-01-01T00:00:00.000+01:00
1,3023662.438,1,2022-02-01T00:00:00.000+01:00
2,3245036.905,1,2022-03-01T00:00:00.000+01:00
3,2955545.493,1,2022-04-01T00:00:00.000+02:00
4,3057820.434,1,2022-05-01T00:00:00.000+02:00
5,3298550.893,1,2022-06-01T00:00:00.000+02:00
6,3904761.335,1,2022-07-01T00:00:00.000+02:00
7,3693025.748,1,2022-08-01T00:00:00.000+02:00
8,3143996.293,1,2022-09-01T00:00:00.000+02:00
9,2962551.967,1,2022-10-01T00:00:00.000+02:00
10,2825885.08,1,2022-11-01T00:00:00.000+01:00
11,3127215.411,1,2022-12-01T00:00:00.000+01:00
