,value,percentage,datetime
0,905738.601,1,2022-01-01T00:00:00.000+01:00
1,828555.977,1,2022-02-01T00:00:00.000+01:00
2,863091.487,1,2022-03-01T00:00:00.000+01:00
3,810692.217,1,2022-04-01T00:00:00.000+02:00
4,862400.681,1,2022-05-01T00:00:00.000+02:00
5,892296.279,1,2022-06-01T00:00:00.000+02:00
6,908696.727,1,2022-07-01T00:00:00.000+02:00
7,857693.127,1,2022-08-01T00:00:00.000+02:00
8,818225.474,1,2022-09-01T00:00:00.000+02:00
9,807511.022,1,2022-10-01T00:00:00.000+02:00
10,826454.965,1,2022-11-01T00:00:00.000+01:00
11,828154.912,1,2022-12-01T00:00:00.000+01:00
