,value,percentage,datetime
0,713309.862,1,2022-01-01T00:00:00.000+01:00
1,649849.447,1,2022-02-01T00:00:00.000+01:00
2,711961.092,1,2022-03-01T00:00:00.000+01:00
3,673439.79,1,2022-04-01T00:00:00.000+02:00
4,700756.749,1,2022-05-01T00:00:00.000+02:00
5,693667.079,1,2022-06-01T00:00:00.000+02:00
6,754312.581,1,2022-07-01T00:00:00.000+02:00
7,757192.276,1,2022-08-01T00:00:00.000+02:00
8,724251.289,1,2022-09-01T00:00:00.000+02:00
9,729372.535,1,2022-10-01T00:00:00.000+02:00
10,709312.287,1,2022-11-01T00:00:00.000+01:00
11,718952.812,1,2022-12-01T00:00:00.000+01:00
