,value,percentage,datetime
0,310887.008,1,2022-01-01T00:00:00.000+01:00
1,303920.233,1,2022-02-01T00:00:00.000+01:00
2,304597.717,1,2022-03-01T00:00:00.000+01:00
3,317139.959,1,2022-04-01T00:00:00.000+02:00
4,332926.239,1,2022-05-01T00:00:00.000+02:00
5,304838.328,1,2022-06-01T00:00:00.000+02:00
6,325751.303,1,2022-07-01T00:00:00.000+02:00
7,303304.989,1,2022-08-01T00:00:00.000+02:00
8,276790.428,1,2022-09-01T00:00:00.000+02:00
9,288164.299,1,2022-10-01T00:00:00.000+02:00
10,273224.97,1,2022-11-01T00:00:00.000+01:00
11,276394.369,1,2022-12-01T00:00:00.000+01:00
