,value,percentage,datetime
0,1062483.113,1,2022-01-01T00:00:00.000+01:00
1,937262.665,1,2022-02-01T00:00:00.000+01:00
2,967960.995,1,2022-03-01T00:00:00.000+01:00
3,871579.213,1,2022-04-01T00:00:00.000+02:00
4,931902.293,1,2022-05-01T00:00:00.000+02:00
5,1029501.733,1,2022-06-01T00:00:00.000+02:00
6,1194776.552,1,2022-07-01T00:00:00.000+02:00
7,1103853.158,1,2022-08-01T00:00:00.000+02:00
8,936184.35,1,2022-09-01T00:00:00.000+02:00
9,855856.051,1,2022-10-01T00:00:00.000+02:00
10,865675.336,1,2022-11-01T00:00:00.000+01:00
11,956420.809,1,2022-12-01T00:00:00.000+01:00
