,value,percentage,datetime
0,1220895.001,1,2022-01-01T00:00:00.000+01:00
1,1118237.177,1,2022-02-01T00:00:00.000+01:00
2,1170167.986,1,2022-03-01T00:00:00.000+01:00
3,1079482.444,1,2022-04-01T00:00:00.000+02:00
4,1094950.535,1,2022-05-01T00:00:00.000+02:00
5,1109216.456,1,2022-06-01T00:00:00.000+02:00
6,1203593.638,1,2022-07-01T00:00:00.000+02:00
7,1126740.686,1,2022-08-01T00:00:00.000+02:00
8,1035023.461,1,2022-09-01T00:00:00.000+02:00
9,1032268.865,1,2022-10-01T00:00:00.000+02:00
10,1081393.084,1,2022-11-01T00:00:00.000+01:00
11,1103692.928,1,2022-12-01T00:00:00.000+01:00
