,value,percentage,datetime
0,3978813.799,1,2022-01-01T00:00:00.000+01:00
1,3589689.605,1,2022-02-01T00:00:00.000+01:00
2,3870758.812,1,2022-03-01T00:00:00.000+01:00
3,3493783.504,1,2022-04-01T00:00:00.000+02:00
4,3626454.01,1,2022-05-01T00:00:00.000+02:00
5,3825103.358,1,2022-06-01T00:00:00.000+02:00
6,4276866.57,1,2022-07-01T00:00:00.000+02:00
7,3909713.791,1,2022-08-01T00:00:00.000+02:00
8,3717711.175,1,2022-09-01T00:00:00.000+02:00
9,3471370.175,1,2022-10-01T00:00:00.000+02:00
10,3473170.281,1,2022-11-01T00:00:00.000+01:00
11,3660750.488,1,2022-12-01T00:00:00.000+01:00
