,value,percentage,datetime
0,17253.197,1,2022-01-01T00:00:00.000+01:00
1,15289.879,1,2022-02-01T00:00:00.000+01:00
2,17074.705,1,2022-03-01T00:00:00.000+01:00
3,15441.172,1,2022-04-01T00:00:00.000+02:00
4,16203.751,1,2022-05-01T00:00:00.000+02:00
5,16614.668,1,2022-06-01T00:00:00.000+02:00
6,17855.742,1,2022-07-01T00:00:00.000+02:00
7,16827.505,1,2022-08-01T00:00:00.000+02:00
8,15818.136,1,2022-09-01T00:00:00.000+02:00
9,16127.866,1,2022-10-01T00:00:00.000+02:00
10,15157.762,1,2022-11-01T00:00:00.000+01:00
11,15734.913,1,2022-12-01T00:00:00.000+01:00
