,value,percentage,datetime
0,448017.748,1,2022-01-01T00:00:00.000+01:00
1,418306.711,1,2022-02-01T00:00:00.000+01:00
2,451568.578,1,2022-03-01T00:00:00.000+01:00
3,406001.297,1,2022-04-01T00:00:00.000+02:00
4,432302.068,1,2022-05-01T00:00:00.000+02:00
5,438758.931,1,2022-06-01T00:00:00.000+02:00
6,401347.433,1,2022-07-01T00:00:00.000+02:00
7,403503.761,1,2022-08-01T00:00:00.000+02:00
8,417254.568,1,2022-09-01T00:00:00.000+02:00
9,411935.809,1,2022-10-01T00:00:00.000+02:00
10,426048.629,1,2022-11-01T00:00:00.000+01:00
11,389488.55,1,2022-12-01T00:00:00.000+01:00
