,value,percentage,datetime
0,2601492.321,1,2022-01-01T00:00:00.000+01:00
1,2254452.384,1,2022-02-01T00:00:00.000+01:00
2,2460329.907,1,2022-03-01T00:00:00.000+01:00
3,2137449.299,1,2022-04-01T00:00:00.000+02:00
4,2142773.857,1,2022-05-01T00:00:00.000+02:00
5,2299053.45,1,2022-06-01T00:00:00.000+02:00
6,2624940.297,1,2022-07-01T00:00:00.000+02:00
7,2326421.743,1,2022-08-01T00:00:00.000+02:00
8,2085897.221,1,2022-09-01T00:00:00.000+02:00
9,2033792.641,1,2022-10-01T00:00:00.000+02:00
10,2181937.96,1,2022-11-01T00:00:00.000+01:00
11,2372841.663,1,2022-12-01T00:00:00.000+01:00
