,value,percentage,datetime
0,2417389.067,1,2022-01-01T00:00:00.000+01:00
1,2144520.206,1,2022-02-01T00:00:00.000+01:00
2,2335792.491,1,2022-03-01T00:00:00.000+01:00
3,2024695.85,1,2022-04-01T00:00:00.000+02:00
4,2113915.981,1,2022-05-01T00:00:00.000+02:00
5,2344921.747,1,2022-06-01T00:00:00.000+02:00
6,2701484.131,1,2022-07-01T00:00:00.000+02:00
7,2534005.265,1,2022-08-01T00:00:00.000+02:00
8,2288727.229,1,2022-09-01T00:00:00.000+02:00
9,2033801.517,1,2022-10-01T00:00:00.000+02:00
10,2008538.703,1,2022-11-01T00:00:00.000+01:00
11,2108159.718,1,2022-12-01T00:00:00.000+01:00
