,value,percentage,datetime
0,452699.784,1,2022-01-01T00:00:00.000+01:00
1,393995.532,1,2022-02-01T00:00:00.000+01:00
2,422631.123,1,2022-03-01T00:00:00.000+01:00
3,382740.987,1,2022-04-01T00:00:00.000+02:00
4,384155.2,1,2022-05-01T00:00:00.000+02:00
5,382643.638,1,2022-06-01T00:00:00.000+02:00
6,461530.046,1,2022-07-01T00:00:00.000+02:00
7,481306.415,1,2022-08-01T00:00:00.000+02:00
8,378553.394,1,2022-09-01T00:00:00.000+02:00
9,370772.256,1,2022-10-01T00:00:00.000+02:00
10,368535.944,1,2022-11-01T00:00:00.000+01:00
11,369415.115,1,2022-12-01T00:00:00.000+01:00
