,value,percentage,datetime
0,1386507.81,1,2022-01-01T00:00:00.000+01:00
1,1194675.819,1,2022-02-01T00:00:00.000+01:00
2,1222744.872,1,2022-03-01T00:00:00.000+01:00
3,1187067.148,1,2022-04-01T00:00:00.000+02:00
4,1170291.344,1,2022-05-01T00:00:00.000+02:00
5,1137849.569,1,2022-06-01T00:00:00.000+02:00
6,1097227.462,1,2022-07-01T00:00:00.000+02:00
7,1038750.723,1,2022-08-01T00:00:00.000+02:00
8,1029103.991,1,2022-09-01T00:00:00.000+02:00
9,1039722.15,1,2022-10-01T00:00:00.000+02:00
10,1087367.547,1,2022-11-01T00:00:00.000+01:00
11,1170300.268,1,2022-12-01T00:00:00.000+01:00
