,value,percentage,datetime
0,464916.63,1,2022-01-01T00:00:00.000+01:00
1,397169.935,1,2022-02-01T00:00:00.000+01:00
2,441909.867,1,2022-03-01T00:00:00.000+01:00
3,436273.855,1,2022-04-01T00:00:00.000+02:00
4,471932.242,1,2022-05-01T00:00:00.000+02:00
5,575202.532,1,2022-06-01T00:00:00.000+02:00
6,702367.092,1,2022-07-01T00:00:00.000+02:00
7,728931.405,1,2022-08-01T00:00:00.000+02:00
8,594746.797,1,2022-09-01T00:00:00.000+02:00
9,466805.443,1,2022-10-01T00:00:00.000+02:00
10,362646.306,1,2022-11-01T00:00:00.000+01:00
11,398799.464,1,2022-12-01T00:00:00.000+01:00
