,value,percentage,datetime
0,145992.771,1,2022-01-01T00:00:00.000+01:00
1,132957.081,1,2022-02-01T00:00:00.000+01:00
2,143230.953,1,2022-03-01T00:00:00.000+01:00
3,124937.214,1,2022-04-01T00:00:00.000+02:00
4,129905.972,1,2022-05-01T00:00:00.000+02:00
5,133780.747,1,2022-06-01T00:00:00.000+02:00
6,141574.709,1,2022-07-01T00:00:00.000+02:00
7,131110.182,1,2022-08-01T00:00:00.000+02:00
8,129983.399,1,2022-09-01T00:00:00.000+02:00
9,126199.802,1,2022-10-01T00:00:00.000+02:00
10,128423.028,1,2022-11-01T00:00:00.000+01:00
11,129424.53,1,2022-12-01T00:00:00.000+01:00
