,value,percentage,datetime
0,17045.196,1,2022-01-01T00:00:00.000+01:00
1,14895.378,1,2022-02-01T00:00:00.000+01:00
2,15776.951,1,2022-03-01T00:00:00.000+01:00
3,14619.04,1,2022-04-01T00:00:00.000+02:00
4,15612.354,1,2022-05-01T00:00:00.000+02:00
5,16241.204,1,2022-06-01T00:00:00.000+02:00
6,19131.061,1,2022-07-01T00:00:00.000+02:00
7,20549.967,1,2022-08-01T00:00:00.000+02:00
8,17281.549,1,2022-09-01T00:00:00.000+02:00
9,15378.657,1,2022-10-01T00:00:00.000+02:00
10,14723.294,1,2022-11-01T00:00:00.000+01:00
11,15185.372,1,2022-12-01T00:00:00.000+01:00
