,value,percentage,datetime
0,1403157.038,1,2022-01-01T00:00:00.000+01:00
1,1301295.245,1,2022-02-01T00:00:00.000+01:00
2,1336660.441,1,2022-03-01T00:00:00.000+01:00
3,1244658.929,1,2022-04-01T00:00:00.000+02:00
4,1348281.478,1,2022-05-01T00:00:00.000+02:00
5,1312495.187,1,2022-06-01T00:00:00.000+02:00
6,1279212.06,1,2022-07-01T00:00:00.000+02:00
7,996267.608,1,2022-08-01T00:00:00.000+02:00
8,1229065.285,1,2022-09-01T00:00:00.000+02:00
9,1277565.089,1,2022-10-01T00:00:00.000+02:00
10,1277034.194,1,2022-11-01T00:00:00.000+01:00
11,1200659.865,1,2022-12-01T00:00:00.000+01:00
