,value,percentage,datetime
0,838347.38,1,2022-01-01T00:00:00.000+01:00
1,726763.587,1,2022-02-01T00:00:00.000+01:00
2,764589.347,1,2022-03-01T00:00:00.000+01:00
3,745247.46,1,2022-04-01T00:00:00.000+02:00
4,746747.263,1,2022-05-01T00:00:00.000+02:00
5,712894.837,1,2022-06-01T00:00:00.000+02:00
6,733731.229,1,2022-07-01T00:00:00.000+02:00
7,707301.295,1,2022-08-01T00:00:00.000+02:00
8,707938.387,1,2022-09-01T00:00:00.000+02:00
9,699296.436,1,2022-10-01T00:00:00.000+02:00
10,707551.666,1,2022-11-01T00:00:00.000+01:00
11,741601.993,1,2022-12-01T00:00:00.000+01:00
