,value,percentage,datetime
0,811561.251,1,2022-01-01T00:00:00.000+01:00
1,722656.087,1,2022-02-01T00:00:00.000+01:00
2,729863.818,1,2022-03-01T00:00:00.000+01:00
3,668215.268,1,2022-04-01T00:00:00.000+02:00
4,721898.89,1,2022-05-01T00:00:00.000+02:00
5,806714.823,1,2022-06-01T00:00:00.000+02:00
6,886779.236,1,2022-07-01T00:00:00.000+02:00
7,873168.816,1,2022-08-01T00:00:00.000+02:00
8,765406.544,1,2022-09-01T00:00:00.000+02:00
9,691620.577,1,2022-10-01T00:00:00.000+02:00
10,668684.694,1,2022-11-01T00:00:00.000+01:00
11,704461.299,1,2022-12-01T00:00:00.000+01:00
