Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2022;47.475.420
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2020;47.450.795
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2022;385.727
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2020;388.270
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.901.594
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.879.888
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2022;740.534
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2020;727.945
01 Araba/Álava;TOTAL EDADES;TOTAL;Ambos sexos;2022;334.412
01 Araba/Álava;TOTAL EDADES;TOTAL;Ambos sexos;2020;333.940
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.004.686
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.018.784
05 Ávila;TOTAL EDADES;TOTAL;Ambos sexos;2022;158.140
05 Ávila;TOTAL EDADES;TOTAL;Ambos sexos;2020;157.664
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2022;666.971
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2020;672.137
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.176.659
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.171.543
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2022;5.727.615
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2020;5.743.402
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.149.344
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.159.443
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2022;355.045
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2020;357.650
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2022;387.805
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2020;391.850
11 Cádiz;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.246.781
11 Cádiz;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.244.049
