Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2022;47.475.420
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2021;47.385.107
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2022;385.727
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2021;386.464
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.901.594
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.881.762
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2022;740.534
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2021;731.792
01 Araba/Álava;TOTAL EDADES;TOTAL;Ambos sexos;2022;334.412
01 Araba/Álava;TOTAL EDADES;TOTAL;Ambos sexos;2021;333.626
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.004.686
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.011.792
05 Ávila;TOTAL EDADES;TOTAL;Ambos sexos;2022;158.140
05 Ávila;TOTAL EDADES;TOTAL;Ambos sexos;2021;158.421
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2022;666.971
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2021;669.943
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.176.659
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.173.008
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2022;5.727.615
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2021;5.714.730
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.149.344
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.154.334
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2022;355.045
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2021;356.055
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2022;387.805
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2021;389.558
11 Cádiz;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.246.781
11 Cádiz;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.245.960
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2022;585.402
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2021;584.507
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Ambos sexos;2022;590.616
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Ambos sexos;2021;587.064
13 Ciudad Real;TOTAL EDADES;TOTAL;Ambos sexos;2022;490.806
13 Ciudad Real;TOTAL EDADES;TOTAL;Ambos sexos;2021;492.591
