Provincias;Ramas de actividad;periodo;Total
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);8.663.814
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.475.070
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);37.279.735
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;37.366.493
04 Almería;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);15.659.622
04 Almería;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;15.813.933
01 Araba/Álava;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);12.939.983
01 Araba/Álava;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;12.813.401
33 Asturias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);23.549.659
33 Asturias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;23.711.269
05 Ávila;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);3.300.110
05 Ávila;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;3.321.394
06 Badajoz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);12.723.211
06 Badajoz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;12.490.571
07 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);30.031.668
07 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;33.935.302
08 Barcelona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);173.721.885
08 Barcelona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;179.195.294
48 Bizkaia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);35.446.900
48 Bizkaia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;36.767.806
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);10.276.704
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;10.596.493
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);7.926.526
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;7.988.357
11 Cádiz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);22.635.742
11 Cádiz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;23.153.892
39 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);14.022.067
39 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.180.759
12 Castellón/Castelló;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);16.147.043
12 Castellón/Castelló;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;16.082.541
13 Ciudad Real;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);10.832.838
13 Ciudad Real;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;10.769.403
14 Córdoba;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);14.616.131
14 Córdoba;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.121.822
15 Coruña, A;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);27.347.965
15 Coruña, A;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;27.718.066
16 Cuenca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);4.594.001
16 Cuenca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;4.515.520
20 Gipuzkoa;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);23.839.000
20 Gipuzkoa;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;24.493.773
17 Girona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);21.355.174
17 Girona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;21.828.320
18 Granada;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);17.140.505
18 Granada;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;17.383.998
19 Guadalajara;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);5.502.747
19 Guadalajara;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;5.465.337
21 Huelva;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);10.763.135
21 Huelva;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;10.544.112
22 Huesca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);6.802.388
22 Huesca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;6.499.251
23 Jaén;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);11.754.569
23 Jaén;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;11.170.612
24 León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);10.224.642
24 León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;10.093.250
25 Lleida;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);12.558.913
25 Lleida;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;12.641.158
27 Lugo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);7.395.362
27 Lugo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;7.763.915
28 Madrid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);237.540.292
28 Madrid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;242.093.235
29 Málaga;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);30.776.021
29 Málaga;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;32.202.624
30 Murcia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);32.719.230
30 Murcia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;32.319.250
31 Navarra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);20.518.471
31 Navarra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;20.873.397
32 Ourense;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);7.104.228
32 Ourense;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;7.100.820
34 Palencia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);4.303.764
34 Palencia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;4.410.268
35 Palmas, Las;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);22.056.871
35 Palmas, Las;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;24.214.216
36 Pontevedra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);21.988.329
36 Pontevedra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;21.637.314
26 Rioja, La;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);8.619.779
26 Rioja, La;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.822.400
37 Salamanca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);7.289.859
37 Salamanca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;7.202.099
38 Santa Cruz de Tenerife;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);20.786.249
38 Santa Cruz de Tenerife;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;22.968.344
