Provincias;Ramas de actividad;Magnitud;periodo;Total
02 Albacete;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);150,2
02 Albacete;TOTAL PERSONAS;Empleo total (miles de personas);2018;148,3
03 Alicante/Alacant;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);686,9
03 Alicante/Alacant;TOTAL PERSONAS;Empleo total (miles de personas);2018;670,4
04 Almería;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);287,3
04 Almería;TOTAL PERSONAS;Empleo total (miles de personas);2018;280,8
01 Araba/Álava;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);161,9
01 Araba/Álava;TOTAL PERSONAS;Empleo total (miles de personas);2018;161,9
33 Asturias;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);387,0
33 Asturias;TOTAL PERSONAS;Empleo total (miles de personas);2018;394,4
05 Ávila;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);59,2
05 Ávila;TOTAL PERSONAS;Empleo total (miles de personas);2018;56,5
06 Badajoz;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);240,1
06 Badajoz;TOTAL PERSONAS;Empleo total (miles de personas);2018;238,9
07 Balears, Illes;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);493,1
07 Balears, Illes;TOTAL PERSONAS;Empleo total (miles de personas);2018;513,6
08 Barcelona;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);2.695,2
08 Barcelona;TOTAL PERSONAS;Empleo total (miles de personas);2018;2.676,9
48 Bizkaia;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);511,6
48 Bizkaia;TOTAL PERSONAS;Empleo total (miles de personas);2018;522,8
09 Burgos;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);159,9
09 Burgos;TOTAL PERSONAS;Empleo total (miles de personas);2018;160,2
10 Cáceres;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);139,2
10 Cáceres;TOTAL PERSONAS;Empleo total (miles de personas);2018;138,3
11 Cádiz;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);405,2
11 Cádiz;TOTAL PERSONAS;Empleo total (miles de personas);2018;393,7
39 Cantabria;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);227,2
