Provincias;Ramas de actividad;Magnitud;periodo;Total
02 Albacete;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);150,2
02 Albacete;TOTAL PERSONAS;Empleo total (miles de personas);2020;147,1
03 Alicante/Alacant;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);686,9
03 Alicante/Alacant;TOTAL PERSONAS;Empleo total (miles de personas);2020;666,3
04 Almería;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);287,3
04 Almería;TOTAL PERSONAS;Empleo total (miles de personas);2020;278,1
01 Araba/Álava;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);161,9
01 Araba/Álava;TOTAL PERSONAS;Empleo total (miles de personas);2020;157,4
33 Asturias;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);387,0
33 Asturias;TOTAL PERSONAS;Empleo total (miles de personas);2020;380,0
05 Ávila;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);59,2
05 Ávila;TOTAL PERSONAS;Empleo total (miles de personas);2020;59,0
06 Badajoz;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);240,1
06 Badajoz;TOTAL PERSONAS;Empleo total (miles de personas);2020;234,3
07 Balears, Illes;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);493,1
07 Balears, Illes;TOTAL PERSONAS;Empleo total (miles de personas);2020;486,8
08 Barcelona;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);2.695,2
08 Barcelona;TOTAL PERSONAS;Empleo total (miles de personas);2020;2.641,1
48 Bizkaia;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);511,6
48 Bizkaia;TOTAL PERSONAS;Empleo total (miles de personas);2020;507,1
09 Burgos;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);159,9
09 Burgos;TOTAL PERSONAS;Empleo total (miles de personas);2020;156,0
10 Cáceres;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);139,2
10 Cáceres;TOTAL PERSONAS;Empleo total (miles de personas);2020;136,8
11 Cádiz;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);405,2
11 Cádiz;TOTAL PERSONAS;Empleo total (miles de personas);2020;395,2
39 Cantabria;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);227,2
39 Cantabria;TOTAL PERSONAS;Empleo total (miles de personas);2020;222,7
12 Castellón/Castelló;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);250,7
12 Castellón/Castelló;TOTAL PERSONAS;Empleo total (miles de personas);2020;242,5
13 Ciudad Real;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);184,9
13 Ciudad Real;TOTAL PERSONAS;Empleo total (miles de personas);2020;184,5
14 Córdoba;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);275,8
14 Córdoba;TOTAL PERSONAS;Empleo total (miles de personas);2020;272,8
15 Coruña, A;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);457,4
15 Coruña, A;TOTAL PERSONAS;Empleo total (miles de personas);2020;451,6
16 Cuenca;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);80,8
16 Cuenca;TOTAL PERSONAS;Empleo total (miles de personas);2020;77,7
20 Gipuzkoa;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);351,2
20 Gipuzkoa;TOTAL PERSONAS;Empleo total (miles de personas);2020;347,6
17 Girona;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);334,4
17 Girona;TOTAL PERSONAS;Empleo total (miles de personas);2020;322,6
18 Granada;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);322,3
18 Granada;TOTAL PERSONAS;Empleo total (miles de personas);2020;313,8
19 Guadalajara;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);88,8
19 Guadalajara;TOTAL PERSONAS;Empleo total (miles de personas);2020;87,2
21 Huelva;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);180,6
21 Huelva;TOTAL PERSONAS;Empleo total (miles de personas);2020;181,2
22 Huesca;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);100,6
22 Huesca;TOTAL PERSONAS;Empleo total (miles de personas);2020;99,7
23 Jaén;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);212,1
23 Jaén;TOTAL PERSONAS;Empleo total (miles de personas);2020;207,8
24 León;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);168,3
24 León;TOTAL PERSONAS;Empleo total (miles de personas);2020;164,0
25 Lleida;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);207,9
25 Lleida;TOTAL PERSONAS;Empleo total (miles de personas);2020;203,8
27 Lugo;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);128,2
27 Lugo;TOTAL PERSONAS;Empleo total (miles de personas);2020;126,7
28 Madrid;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);3.514,4
28 Madrid;TOTAL PERSONAS;Empleo total (miles de personas);2020;3.417,0
29 Málaga;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);615,8
29 Málaga;TOTAL PERSONAS;Empleo total (miles de personas);2020;589,9
30 Murcia;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);620,8
30 Murcia;TOTAL PERSONAS;Empleo total (miles de personas);2020;604,1
31 Navarra;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);302,7
31 Navarra;TOTAL PERSONAS;Empleo total (miles de personas);2020;299,9
32 Ourense;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);110,8
32 Ourense;TOTAL PERSONAS;Empleo total (miles de personas);2020;107,9
34 Palencia;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);65,7
34 Palencia;TOTAL PERSONAS;Empleo total (miles de personas);2020;65,5
35 Palmas, Las;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);422,2
35 Palmas, Las;TOTAL PERSONAS;Empleo total (miles de personas);2020;410,6
36 Pontevedra;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);371,7
36 Pontevedra;TOTAL PERSONAS;Empleo total (miles de personas);2020;366,9
26 Rioja, La;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);138,2
26 Rioja, La;TOTAL PERSONAS;Empleo total (miles de personas);2020;136,4
37 Salamanca;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);129,4
37 Salamanca;TOTAL PERSONAS;Empleo total (miles de personas);2020;127,1
38 Santa Cruz de Tenerife;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);386,7
38 Santa Cruz de Tenerife;TOTAL PERSONAS;Empleo total (miles de personas);2020;381,7
40 Segovia;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);64,5
40 Segovia;TOTAL PERSONAS;Empleo total (miles de personas);2020;62,5
41 Sevilla;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);726,8
41 Sevilla;TOTAL PERSONAS;Empleo total (miles de personas);2020;702,3
42 Soria;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);41,0
42 Soria;TOTAL PERSONAS;Empleo total (miles de personas);2020;40,4
43 Tarragona;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);324,9
43 Tarragona;TOTAL PERSONAS;Empleo total (miles de personas);2020;318,6
44 Teruel;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);56,7
44 Teruel;TOTAL PERSONAS;Empleo total (miles de personas);2020;56,7
45 Toledo;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);234,5
45 Toledo;TOTAL PERSONAS;Empleo total (miles de personas);2020;224,8
46 Valencia/València;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);1.038,1
46 Valencia/València;TOTAL PERSONAS;Empleo total (miles de personas);2020;1.014,6
47 Valladolid;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);235,0
47 Valladolid;TOTAL PERSONAS;Empleo total (miles de personas);2020;232,4
49 Zamora;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);60,6
49 Zamora;TOTAL PERSONAS;Empleo total (miles de personas);2020;59,4
50 Zaragoza;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);444,9
50 Zaragoza;TOTAL PERSONAS;Empleo total (miles de personas);2020;440,5
51 Ceuta;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);31,7
51 Ceuta;TOTAL PERSONAS;Empleo total (miles de personas);2020;30,9
52 Melilla;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);31,0
52 Melilla;TOTAL PERSONAS;Empleo total (miles de personas);2020;30,1
